遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,115000079,2026/03/30,35342025,1413681,13558125,6,8,20,22,32
39樂合彩,115000080,2026/03/31,31242400,1249696,12344625,9,16,23,35,39
39樂合彩,115000081,2026/04/01,33419525,1336781,22305500,3,10,11,13,23
39樂合彩,115000082,2026/04/02,34691150,1387646,14720500,1,9,13,18,21
39樂合彩,115000083,2026/04/03,31273050,1250922,14922375,6,8,9,25,35
39樂合彩,115000084,2026/04/04,31382900,1255316,15664000,4,17,25,31,36
39樂合彩,115000085,2026/04/06,34027875,1361115,19242500,7,11,17,31,34
39樂合彩,115000086,2026/04/07,29436775,1177471,19324125,4,8,21,27,29
39樂合彩,115000087,2026/04/08,34829425,1393177,17511375,2,4,5,6,29
39樂合彩,115000088,2026/04/09,32743775,1309751,12553750,2,15,25,31,38
39樂合彩,115000089,2026/04/10,32561750,1302470,10017000,9,21,25,27,30
39樂合彩,115000090,2026/04/11,34917300,1396692,27623500,7,12,17,24,31
39樂合彩,115000091,2026/04/13,35776500,1431060,13443250,18,30,31,37,38
39樂合彩,115000092,2026/04/14,30186575,1207463,18964625,9,14,27,29,33
39樂合彩,115000093,2026/04/15,33098250,1323930,11161125,2,9,11,29,30
39樂合彩,115000094,2026/04/16,32651525,1306061,26250375,6,8,12,21,30
39樂合彩,115000095,2026/04/17,32309575,1292383,21383125,1,2,7,16,26
39樂合彩,115000096,2026/04/18,34606450,1384258,12956500,7,25,26,29,31
39樂合彩,115000097,2026/04/20,33951825,1358073,33599250,3,4,5,20,36
39樂合彩,115000098,2026/04/21,30276075,1211043,11990625,1,6,14,26,28
39樂合彩,115000099,2026/04/22,32846475,1313859,24852875,5,7,24,38,39
39樂合彩,115000100,2026/04/23,31309525,1252381,24513750,2,10,17,25,35
39樂合彩,115000101,2026/04/24,29201400,1168056,13003625,16,21,25,29,34
39樂合彩,115000102,2026/04/25,32807800,1312312,18768500,3,20,21,22,33
39樂合彩,115000103,2026/04/27,33861225,1354449,37850750,8,18,20,23,27
39樂合彩,115000104,2026/04/28,31157825,1246313,14113000,7,8,21,35,38
39樂合彩,115000105,2026/04/29,32779450,1311178,21476125,2,6,22,32,36
39樂合彩,115000106,2026/04/30,33325475,1333019,14215500,6,15,27,30,31
