遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,115000040,2026/02/15,53953450,1079069,14151750,11,13,18,22,34
今彩539,115000041,2026/02/16,68107450,1362149,37126750,5,7,15,18,34
今彩539,115000042,2026/02/17,75479650,1509593,42972950,6,8,11,20,21
今彩539,115000043,2026/02/18,74832100,1496642,51058500,8,10,12,32,33
今彩539,115000044,2026/02/19,72896600,1457932,29415050,8,15,19,25,27
今彩539,115000045,2026/02/20,75361250,1507225,33674450,4,11,22,23,27
今彩539,115000046,2026/02/21,75055250,1501105,49896700,1,8,19,20,25
今彩539,115000047,2026/02/22,63074900,1261498,16349600,8,13,16,24,25
今彩539,115000048,2026/02/23,62761250,1255225,48078350,3,10,12,27,36
今彩539,115000049,2026/02/24,60982200,1219644,24682300,16,23,25,32,36
今彩539,115000050,2026/02/25,60288200,1205764,46480200,5,22,28,35,36
今彩539,115000051,2026/02/26,57747650,1154953,28758900,3,6,9,31,39
今彩539,115000052,2026/02/27,56458000,1129160,43698000,1,22,23,37,39
今彩539,115000053,2026/02/28,54422450,1088449,47837900,2,4,13,26,27
今彩539,115000054,2026/03/01,47866050,957321,43140250,2,8,15,29,31
今彩539,115000055,2026/03/02,56219550,1124391,38115550,3,12,20,21,27
今彩539,115000056,2026/03/03,63167550,1263351,24408950,2,19,21,32,35
今彩539,115000057,2026/03/04,45436900,908738,30224350,4,8,12,16,17
今彩539,115000058,2026/03/05,43087600,861752,11715550,1,4,8,12,36
今彩539,115000059,2026/03/06,43006850,860137,16938750,19,24,29,32,34
今彩539,115000060,2026/03/07,45136350,902727,10344400,15,17,18,34,36
今彩539,115000061,2026/03/09,46860900,937218,11713450,7,12,15,32,38
今彩539,115000062,2026/03/10,39034550,780691,19610400,11,12,14,17,32
今彩539,115000063,2026/03/11,45962650,919253,28188350,5,15,26,37,38
今彩539,115000064,2026/03/12,40955150,819103,11259550,4,5,7,23,35
今彩539,115000065,2026/03/13,41652750,833055,37499850,2,5,11,12,15
今彩539,115000066,2026/03/14,44241650,884833,14978900,8,10,18,20,34
今彩539,115000067,2026/03/16,47529750,950595,20368400,17,19,21,29,34
今彩539,115000068,2026/03/17,39643050,792861,27604700,11,13,19,22,27
今彩539,115000069,2026/03/18,43761450,875229,26067050,21,22,31,32,35
今彩539,115000070,2026/03/19,39520050,790401,20386650,5,23,25,30,37
今彩539,115000071,2026/03/20,44138200,882764,39882550,3,11,15,33,39
今彩539,115000072,2026/03/21,42802950,856059,10715800,7,14,15,19,22
今彩539,115000073,2026/03/23,44174650,883493,29019100,7,12,24,29,35
今彩539,115000074,2026/03/24,38335100,766702,25942650,10,20,28,29,36
今彩539,115000075,2026/03/25,41241100,824822,28224650,3,13,31,33,36
今彩539,115000076,2026/03/26,38028450,760569,9014000,14,17,20,24,37
今彩539,115000077,2026/03/27,37491400,749828,33568200,8,18,24,34,35
今彩539,115000078,2026/03/28,40508400,810168,15331450,6,9,11,16,17
今彩539,115000079,2026/03/30,43179800,863596,11029900,6,8,20,22,32
今彩539,115000080,2026/03/31,37387550,747751,25831250,9,16,23,35,39
今彩539,115000081,2026/04/01,40032550,800651,36596250,3,10,11,13,23
今彩539,115000082,2026/04/02,39237900,784758,17391000,1,9,13,18,21
今彩539,115000083,2026/04/03,36430600,728612,10161550,6,8,9,25,35
今彩539,115000084,2026/04/04,35272850,705457,10134000,4,17,25,31,36
今彩539,115000085,2026/04/06,40001250,800025,26953050,7,11,17,31,34
今彩539,115000086,2026/04/07,33474400,669488,9944050,4,8,21,27,29
今彩539,115000087,2026/04/08,41089700,821794,18881150,2,4,5,6,29
今彩539,115000088,2026/04/09,37334550,746691,16724750,2,15,25,31,38
今彩539,115000089,2026/04/10,38634250,772685,16932250,9,21,25,27,30
今彩539,115000090,2026/04/11,40170300,803406,21711200,7,12,17,24,31
今彩539,115000091,2026/04/13,42377450,847549,16854550,18,30,31,37,38
今彩539,115000092,2026/04/14,36235700,724714,26846050,9,14,27,29,33
今彩539,115000093,2026/04/15,39045350,780907,10697750,2,9,11,29,30
今彩539,115000094,2026/04/16,35989900,719798,36711600,6,8,12,21,30
今彩539,115000095,2026/04/17,37991400,759828,10512850,1,2,7,16,26
今彩539,115000096,2026/04/18,39537350,790747,34220900,7,25,26,29,31
今彩539,115000097,2026/04/20,41539450,830789,40344450,3,4,5,20,36
今彩539,115000098,2026/04/21,36285400,725708,17065650,1,6,14,26,28
今彩539,115000099,2026/04/22,39257000,785140,11678400,5,7,24,38,39
今彩539,115000100,2026/04/23,34703050,694061,18714400,2,10,17,25,35
今彩539,115000101,2026/04/24,34303900,686078,8960100,16,21,25,29,34
今彩539,115000102,2026/04/25,37852850,757057,18155100,3,20,21,22,33
今彩539,115000103,2026/04/27,41444050,828881,24335400,8,18,20,23,27
今彩539,115000104,2026/04/28,36455600,729112,9618100,7,8,21,35,38
今彩539,115000105,2026/04/29,37516400,750328,19476850,2,6,22,32,36
今彩539,115000106,2026/04/30,35425850,708517,8678550,6,15,27,30,31
